학원교습소명,학원명,개설일자,등록일자,등록상태명,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정명,도로명우편번호,도로명주소,도로명상세주소,구,lat,lon
학원,(2관)기찬에듀기찬수학학원,20200820,20200820,개원,240,95,입시.검정 및 보습,보통교과,보습,13555,경기도 성남시 분당구 정자일로 234,/ 305호 (정자동/ 태남프라자),분당구,37.371212190,127.106281974
학원,(2관)짱솔학원,20151124,20151124,개원,150,114,입시.검정 및 보습,보통교과,보습,13601,경기도 성남시 분당구 불정로 252,/ 401호/402호 (수내동),분당구,37.366216199,127.126641894
학원,(분당점)더원학원,20220610,20220610,개원,300,143,입시.검정 및 보습,보통교과,보습,13601,경기도 성남시 분당구 불정로 254,/ 4층 (수내동/ 삼평프라자),분당구,37.366395367,127.126822062
학원,(주)그래디언트학원,20111205,20111205,개원,75,72,입시.검정 및 보습,보통교과,보습,13558,경기도 성남시 분당구 성남대로331번길 3-13,/ 606호 (정자동/ 대명제스트빌딩),분당구,37.364393218,127.107695832
학원,(주)아이에스이영어원격학원,20120720,20120720,개원,27,100,입시.검정 및 보습,보통교과,보습,13591,경기도 성남시 분당구 황새울로360번길 21,/ 604호 일부 (서현동/ 분당서현신영팰리스타워),분당구,37.385710025,127.125705411
학원,(주)크레버스씨큐브코딩분당제1지점학원,20171016,20171016,개원,36,172,종합(대),,,13555,경기도 성남시 분당구 느티로 27,/ 402호 (정자동),분당구,37.368869911,127.107506696
학원,(주)크레버스영재관분당제1지점학원,20140827,20140827,개원,300,269,입시.검정 및 보습,보통교과,보습,463847,경기도 성남시 분당구 성남대로 349,/ 406호/701호 (정자동/ 시그마타워),분당구,37.367294923,127.107698321
학원,(주)크레버스영재교육센터분당제1지점학원,20100527,20100527,개원,90,273,입시.검정 및 보습,보통교과,보습,13555,경기도 성남시 분당구 느티로 27,/ 501/ 502/ 503/ 504호 (정자동/ 하나플라자빌딩),분당구,37.368869911,127.107506696
학원,(주)크레버스영재교육센터분당제2지점학원,20161124,20161124,개원,60,237,입시.검정 및 보습,보통교과,보습,13595,경기도 성남시 분당구 수내로46번길 12,/ 2층 (수내동/ 코아빌딩),분당구,37.380406503,127.116594495
학원,(주)하이라인스터디센터독서실,20230109,20230109,개원,140,143,독서실,독서실,독서실(유아/초·중·고),13555,경기도 성남시 분당구 성남대로 381,/ 507호/ 508호 일부 (정자동/ 폴라리스빌딩),분당구,37.370280550,127.107516744
